sample_fp	plate	round	well	tile
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0163_ChannelDAPI_Seq0163.nd2	1	1	B1	163
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0164_ChannelDAPI_Seq0164.nd2	1	1	B1	164
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0165_ChannelDAPI_Seq0165.nd2	1	1	B1	165
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0166_ChannelDAPI_Seq0166.nd2	1	1	B1	166
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0167_ChannelDAPI_Seq0167.nd2	1	1	B1	167
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0168_ChannelDAPI_Seq0168.nd2	1	1	B1	168
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0169_ChannelDAPI_Seq0169.nd2	1	1	B1	169
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0170_ChannelDAPI_Seq0170.nd2	1	1	B1	170
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0171_ChannelDAPI_Seq0171.nd2	1	1	B1	171
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0172_ChannelDAPI_Seq0172.nd2	1	1	B1	172
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0173_ChannelDAPI_Seq0173.nd2	1	1	B1	173
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0174_ChannelDAPI_Seq0174.nd2	1	1	B1	174
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0175_ChannelDAPI_Seq0175.nd2	1	1	B1	175
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0176_ChannelDAPI_Seq0176.nd2	1	1	B1	176
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0177_ChannelDAPI_Seq0177.nd2	1	1	B1	177
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0178_ChannelDAPI_Seq0178.nd2	1	1	B1	178
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0179_ChannelDAPI_Seq0179.nd2	1	1	B1	179
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0180_ChannelDAPI_Seq0180.nd2	1	1	B1	180
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0181_ChannelDAPI_Seq0181.nd2	1	1	B1	181
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0182_ChannelDAPI_Seq0182.nd2	1	1	B1	182
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0183_ChannelDAPI_Seq0183.nd2	1	1	B1	183
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0184_ChannelDAPI_Seq0184.nd2	1	1	B1	184
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0185_ChannelDAPI_Seq0185.nd2	1	1	B1	185
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0186_ChannelDAPI_Seq0186.nd2	1	1	B1	186
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0187_ChannelDAPI_Seq0187.nd2	1	1	B1	187
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0188_ChannelDAPI_Seq0188.nd2	1	1	B1	188
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0189_ChannelDAPI_Seq0189.nd2	1	1	B1	189
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0190_ChannelDAPI_Seq0190.nd2	1	1	B1	190
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0191_ChannelDAPI_Seq0191.nd2	1	1	B1	191
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0192_ChannelDAPI_Seq0192.nd2	1	1	B1	192
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0193_ChannelDAPI_Seq0193.nd2	1	1	B1	193
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0194_ChannelDAPI_Seq0194.nd2	1	1	B1	194
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0195_ChannelDAPI_Seq0195.nd2	1	1	B1	195
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0196_ChannelDAPI_Seq0196.nd2	1	1	B1	196
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0197_ChannelDAPI_Seq0197.nd2	1	1	B1	197
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0198_ChannelDAPI_Seq0198.nd2	1	1	B1	198
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0199_ChannelDAPI_Seq0199.nd2	1	1	B1	199
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0200_ChannelDAPI_Seq0200.nd2	1	1	B1	200
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0201_ChannelDAPI_Seq0201.nd2	1	1	B1	201
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0202_ChannelDAPI_Seq0202.nd2	1	1	B1	202
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0203_ChannelDAPI_Seq0203.nd2	1	1	B1	203
/lab/ops_data/pumori/input_ph/plate_1/round_1/WellB1_PointB1_0204_ChannelDAPI_Seq0204.nd2	1	1	B1	204
